id,text,label,sentiment
13466,"Watching Nemecek go on her computer, fun!  Lol I keed!  Norms was fun",2,positive
1065,DotA is an addiction...i waste 6-7 hours playing dota,0,negative
15130,Ordered a new computer! Unfortunately it won`t get here until the end of June.,0,negative
1815," I got a headache because of all the hard work today, still not ready, with a #Heineken trying to finished up",0,negative
9400, I`m currently into Emarosa. Their new album is the shiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiit! Haha,0,negative
6184,grrh my phone (brand new might i add) keep just switching itself off and others are saying theirs does the same,0,negative
6867,another build failed! something is not right in the big scheme of things!,0,negative
16537, they already are in my books,1,neutral
10986,Bran!! Watch my video!!!!! please dont make me go stalker status 2nite  http://bit.ly/3Ysav,1,neutral
21167, that sounds delicious,2,positive
2967, Chabibi. It`s a long running joke. I don`t give a flying **** if anyone follows me at all!,1,neutral
4214,"This is the free version. The paid version is $7.99, the Platinum version is even more. You can only track 5 habits in the free version. Developers must be paid, but a lack of up front honesty makes this product undesirable. (I should charge for this.) Do not install. #doughymiddle",0,negative
346,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,2,positive
6523,Did not work on my Amazon Fire 8. app just flashed abou a mile a minute and nothing could be selected.,0,negative
13206,_**** it was indeed  made my life!,2,positive
22230,_fan Been busy trumping your cheese omlette with a cheese and chili omlette. An omnomlette,1,neutral
2947,_benson  Woohoo! Well Done! I started Macarena-ing too,2,positive
2602,Will not open disappointed as i was looking forward to using this service,0,negative
4233,"Hello Team, I bought the complete package in Feb 2015. However when I am trying to use HabitBull Premium + Extra, it says no account found in database. Can you please help me with this? Your support team is also not responding to the the ticket which i have raised earlier Support Ticket Opened [#388906]",0,negative
1683,OH MY GOD! OH MY GOD! OH MY GOD! New SUPERNATURAL starts tonight!  New Sam and Dean! Oh My god! can`t breathe!  <3 <3,2,positive
1460,HAPPY MOTHERS DAY 2 ME,2,positive
4013,Super helpful app! I get so invested in making sure my plants don't die and it really helps,2,positive
12286,"_za its not fruit, its those sugar covered sweets. My tummy is not happy",0,negative
19487,I`m tired. I think I`m becoming too old to go out.,0,negative
12311, I`ve been using the Sennheiser CX 300 earbuds for 8 months and I love them.  Don`t know if they`re available in MU though.,2,positive
3437,I need a break! I NEED KITKAT! haha!,2,positive
5414,i ran out of facebook quizzes. lol grocery shopping then work. w00t?,1,neutral
8514,All my loved ones are leaving on Sunday..... sad,0,negative
1714,VERY GOOD APP BUT IN WIDGET THERE IS A NO OPTION IN LIST WISE SELECT TODAY TOMORROW OR ALL PLEASE UPDATE FOR THIS OPTION THEN IT WILL BE FAR BETTER PLEASE UPDATE EXAMPLE IF THERE'S A CALL LIST IN WIDGET IT SHOWS IN CALL WIDGET LIST ALL CALL TODAY TOMORROW OTHER ALL DAY BUT IT SHOULD OPTION TO SELECT TODAY TOMORROW ETC.,0,negative
25088," thanks for following, it means a lot to me  i love hey monday!",2,positive
2675,starting twitter,1,neutral
26563,just reached for her plate to get another bit of toast and realised id eaten it all  not a nice feeling,0,negative
21455," he was soooo great!!! loved him! He was so good live, haha it poured on us though... makes it that much better!",2,positive
2452, this picture made me cry  lol http://www.twitpic.com/671w1,0,negative
12494,"Enjoying sunshine in the park with friends, pale shirtless footballers are not attractive I`m afraid",1,neutral
1982, yes its the twins  so i wontt be watching,1,neutral
14699,Oh my `Mix Khichadi` seems to be ready now .. time for Lunch  !,1,neutral
